timestamp,gaze,mean_x_l,mean_y_l,std_x_l,std_y_l,maxdev_x_l,maxdev_y_l,mean_x_r,mean_y_r,std_x_r,std_y_r,maxdev_x_r,maxdev_y_r,anomaly
2025-07-07 03:28:10,Center,320.53333333333336,312.31666666666666,1.9362047641943478,2.4865750653369676,6.53333333333336,5.683333333333337,397.51666666666665,306.28333333333336,2.140807220549192,2.422750961659537,6.5166666666666515,4.71666666666664,No
2025-07-07 03:28:10,Center,320.46666666666664,312.23333333333335,2.085398975948941,2.4451766580124414,6.46666666666664,5.7666666666666515,397.4166666666667,306.1666666666667,2.340168559930863,2.409472049133491,7.416666666666686,4.833333333333314,No
2025-07-07 03:28:10,Center,320.35,312.1333333333333,2.3439638791301087,2.36971634495683,8.350000000000023,5.866666666666674,397.3333333333333,306.03333333333336,2.5077657165072034,2.3591429705627323,7.333333333333314,4.96666666666664,No
2025-07-07 03:28:10,Center,320.23333333333335,312.03333333333336,2.5714241622537157,2.287405128573034,8.233333333333348,5.96666666666664,397.25,305.9,2.662235902394827,2.2999999999999976,7.25,5.100000000000023,No
2025-07-07 03:28:10,Center,320.1333333333333,311.9,2.7656624683588724,2.165640782770769,8.133333333333326,5.100000000000023,397.1666666666667,305.76666666666665,2.8057480682025284,2.2313423961572743,7.166666666666686,4.2333333333333485,No
2025-07-07 03:28:10,Center,320.05,311.78333333333336,2.9007183018464002,2.0743807643621133,8.050000000000011,5.21666666666664,397.0833333333333,305.6666666666667,2.9399074059493024,2.1730674684008804,7.083333333333314,4.333333333333314,No
2025-07-07 03:28:10,Center,319.93333333333334,311.68333333333334,3.0760725320158206,2.0123921641226423,7.933333333333337,5.316666666666663,396.98333333333335,305.56666666666666,3.106400203164786,2.1084486134491267,7.9833333333333485,4.433333333333337,No
2025-07-07 03:28:10,Center,319.8333333333333,311.5833333333333,3.2309269395776945,1.943293310050976,7.833333333333314,5.416666666666686,396.9,305.48333333333335,3.2233522922572386,2.0695544340643828,7.899999999999977,4.5166666666666515,No
2025-07-07 03:28:10,Center,319.73333333333335,311.5,3.37573037364591,1.857417562100671,7.7333333333333485,5.5,396.8,305.3833333333333,3.3704599092705427,1.992416176962591,7.800000000000011,4.616666666666674,No
2025-07-07 03:28:10,Center,319.6333333333333,311.4166666666667,3.5117263877218883,1.763440450432681,7.633333333333326,5.583333333333314,396.7,305.28333333333336,3.508560958569767,1.9069317997476678,7.699999999999989,4.71666666666664,No
2025-07-07 03:28:10,Center,319.53333333333336,311.3333333333333,3.639902318591653,1.659986613065163,7.53333333333336,5.666666666666686,396.6,305.18333333333334,3.6386810797320495,1.8119204054139766,7.600000000000023,4.816666666666663,No
2025-07-07 03:28:10,Center,319.4166666666667,311.23333333333335,3.7960139913101236,1.4873541011548743,8.416666666666686,3.7666666666666515,396.5,305.1166666666667,3.7616485747608057,1.7038355424029514,7.5,4.883333333333326,No
2025-07-07 03:28:10,Right,319.26666666666665,311.18333333333334,3.9448982524549634,1.408210053775912,8.266666666666652,3.816666666666663,396.35,305.03333333333336,3.91503512117069,1.5807874268505833,8.350000000000023,3.96666666666664,No
2025-07-07 03:28:10,Right,319.0833333333333,311.15,4.0673155220065675,1.3394650673558706,8.083333333333314,2.8500000000000227,396.18333333333334,304.96666666666664,4.0517143148164925,1.4940623220676645,8.183333333333337,4.03333333333336,No
2025-07-07 03:28:11,Right,318.93333333333334,311.1166666666667,4.15879255981295,1.292177318413469,7.933333333333337,2.8833333333333258,396.03333333333336,304.9166666666667,4.147154312162604,1.4058409899020907,8.03333333333336,4.083333333333314,No
2025-07-07 03:28:11,Right,318.76666666666665,311.1,4.2322833343506465,1.2609520212918495,7.7666666666666515,2.8999999999999773,395.8833333333333,304.8666666666667,4.235137410862709,1.3097921802925672,7.883333333333326,3.1333333333333258,No
2025-07-07 03:28:11,Right,318.6,311.0833333333333,4.33666538560063,1.2287075413711042,7.600000000000023,2.0833333333333144,395.73333333333335,304.8333333333333,4.316119656460986,1.2538828582536024,7.7333333333333485,2.1666666666666856,No
